,Accident ID,Event Type,Industry Type,Accident Title,Start Date,Finish Date,Accident Description,Causes of the accident,Consequences,Emergency response,Lesson Learned
73,553,Major Accident,Other activity (not otherwise specified int the list),Fatal burn injuries during the handling of a highly energetic  composition,2002-08-14 12:29:00,2002-08-14 12:30:00,"Operator suffered severe burn injuries, proving fatal, when a highly energetic composition ignited during handling.",Still under investigation.,No off-site effects.  Only one person involved.  Fireball radius perhaps 10 m.  Minor short duration grass fire.  No long-term environmental effects.,Fire services attended to extinguish grass fire.,Still under investigation.
74,244,Major Accident,Manufacture of food products and beverages,Over pressure and explosion of a process vessel,2003-04-11 02:00:00,2003-04-11 00:00:00,The explosion caused extensive damage to the facility and resulted in fire and ammonia release.,It is not clear at this point what caused the process vessel to become overpressurized.,"One worker was killed.
The facility suffered extensive damage.
Dozens of homes were evacuated due to the ammonia release.",Dozens of nearby residents were evacuated for six hours.,The process vessel became over pressurized and failed catastrophically.
75,1276,Major Accident,LNG storage and distribution,Release of natural gas into the atmosphere,2021-01-01 04:30:00,2021-01-01 20:00:00,"At around 04:30 a communication problem arose on the controller system of an underground storage site that was out of service. The full safety shutdown was triggered, closing the automatic transfer valves. At around 09:00, the two workshops were put back into service. At around 14:00, the two safety shutdowns were triggered again, with the gas in the pipes being vented. 20,090 m³ of natural gas was discharged into the atmosphere, 5% above the SEVESO threshold.","The incident was caused by:

the intermittent failure of an active equipment component (a switch), leading it to detect time-outs at random on the various safety network controllers;
a redundancy problem due to a fault in the programming of the controller and a problem regarding compatibility of software versions.

Some switches had been physically moved/reversed. This caused addressing errors, and there was a flaw in the redundancy of the safety systems which led to operating with only one safety system in the event of a series failure.","20,090 m&sup3; of natural gas were discharged into the atmosphere.",Automatic safety shutdown in accordance with safety procedures.,"The operator is taking the following steps:

a review of life-cycles versus use of equipment and networks;
a review of design standards, in particular with regard to redundancy;
an expert report from the service provider on the programming and redundancy errors;
revision of the procedure for informing the classified facilities inspectorate and the emergency services in the event of a significant incident;
finalisation of the hardware and software expert reports;
the action plan to increase the reliability of the safety controllers’ management of loop redundancy;
systematic integration of a redundancy functionality test in the event of a project;
the purchase of a controller network monitoring station in order to improve reliability.&nbsp;
"
76,1238,Major Accident,Petrochemical / Oil Refineries,Chloromethane leak at a chemical plant,2012-02-03 00:00:00,2012-02-07 00:00:00,"At a petrochemical site, gaseous hydrocarbons leaked from a 3-inch pipe under pressure of 300 mbar.","The incident occurred during a prolonged cold spell, when the temperature had remained below freezing for 8 days and had fallen as low as -18 °C. The equipment was designed for a minimum temperature of -12 °C. The damaged section developed a crack of 5-6 cm caused by the pipe freezing and began to leak with the thaw. The accumulation of water in the piping resulted from the presence of wet gas and the fact that no product flowed through the unused branch. An inspection 8 years previously had not detected any significant loss of metal thickness in this section, which was classified at a low criticality level.
The leak took a long time to locate because the gas is colourless and because of the site and height of the section, the non-activation of the gas detectors in the unit and insufficient information from the operative in the control room. The operative manages stocks of diluent per item of equipment and per hour, but does not have any summary view of the overall daily consumption of diluent across the entire unit. This figure can only be obtained by means of a detailed analysis, which pinpoints the start of the leak to more than 3 days before the accident. The day before, abnormal consumption of diluent had been detected on the display screen, but the low pressure in the section, the height of the piping and the colourless nature of the product meant that the leak could not be located precisely. An operative found it by chance the following day when climbing scaffolding erected for planned maintenance.",This discharge of 8.5 t of CH3Cl over 80 hours &ndash; compared with 150 t discharged annually &ndash; did not have any impact in terms of acute or chronic toxicity for the neighbourhood.,"Operatives wearing self-contained breathing apparatus (SCBA) temporarily stopped the leak using an active leak sealing system (polymer strip type), and a monitoring procedure was put in place.","The damaged piping was removed a few weeks later and the operator took a number of measures to remove or monitor the presence of water in pipes with the same characteristics and carrying toxic or flammable fluids in times of extreme cold: sections concerned put out of service, removal of water from the pipes or enhanced vigilance in the event of meteorological hazards."
77,1133,Near Miss,General chemicals manufacture (not otherwise specified int the list),Release of carbon disulphide from a tank wagon in a plant for the manufacture of pharmaceutical raw materials,2017-11-14 09:20:00,2017-11-14 09:20:00,"A leak in an interconnector (metal fabric hose) led to the release of carbon disulphide.The member of staff performing the work immediately noticed this and closed the relevant ball valve, which stopped the release of the substance.
Safety functions:The fire brigade, which is kept on standby (in close proximity, fully equipped) whenever carbon disulphide is being unloaded, immediately created a foam carpet.","The causes of this event are complex.

Lack of knowledge and consequent assumptions about the end of the transhipment.
Lack of communication between the firm and the staff responsible for filling the tanks about the operation of the unloading gantry and storage tank.
Incorrect fitting of the metal fabric hose, which led to the release of the substance.
Lack of awareness within the firm about good practice, or of noticing and being willing to speak out if good practice is not followed.

When carbon disulphide is unloaded, the entire load is normally transferred to two storage tanks. The member of staff carrying out the unloading was not aware that the unloading process did not lead directly into the storage tank, but via an intermediate tank.At a low ambient temperature, carbon disulphide becomes viscous, which results in the flow becoming blocked, the intermediate tank reaching its maximum filling level and the flow pump stopping.Only when the contents of the intermediate tank have flowed out can the pump be restarted.
Due to poor communication between the firm and those responsible for unloading, and to the lack of knowledge of the staff member during the unloading, it was erroneously assumed that the transhipment operation was finished.
The release of the carbon disulphide occurred at a point where the metal fabric hose was damaged, directly adjacent to the unloading gantry.There was a sharp kink in the hose immediately after the flange connection. This is where the leak occurred.Sharply bending, compressing, twisting or kinking a metal fabric hose is to be avoided.
On the basis of the operator’s documentation, it was not possible to determine whether the setup at the time of the accident corresponded to the original design or whether a different metal fibre hose had been installed in the meantime.Although all participants in an on-site meeting were of the opinion that the damaged installation did not meet the standards, nobody in the company (over a long period of time) had questioned the situation.",One injured person.,No further protective measures were needed because the leakage of the substance was stopped and the situation was under control.,"
Technical repair.
Immediate verification of the processes of unloading the materials involved in the incident on the entire site.Revision of the operational procedures for unloading; Optimisation of the guidance documents to be used (work instruction, checklists).
Improvements to the safety management system with regard to the follow-up of events and internal communication on lessons learned from them.

Revision of the reporting system (internal, external) including training; Improving emergency management, improvements to processes for communication with external bodies newly agreed with the authorities and put in place."
78,23,Major Accident,Petrochemical / Oil Refineries,Ethylene oxide leaked through a hair-crack in a weld on the distillation column,1989-03-07 17:00:00,1989-03-07 00:00:00,"ACCIDENT CASE HISTORY DESCRIPTION:
Ethylene oxide leaked through a hair-crack in a weld on the distillation column K-303 (aldehyde column) and contaminated the rock-wool insulation of a level indicator. The leak was caused by a hair-crack due to low cycle fatigue. The released ethylene oxide reacted with moisture to form non-volatile polyethylene glycols (PEG) in the insulation material. PEG accumulated in the course of time. On the day of the accident, the metal covering of the insulation was removed in order to repair the level indicator. Air leaked into the insulation material already soaked with PEG, causing its decomposition and initiating auto-oxidation. The auto-oxidation of the PEG ignited the insulation and the resulting heat flux heated the metal wall of the piping of the level instrumentation system. The heating of the stagnant liquid of the level instrument stand pipe caused the ethylene oxide to decompose. The decomposition continued into the column K-303 which exploded (the confined vapour explosion began in the lower section of the column). The gas supply line to column K-302 (carrying gases from the head of column K-303) was torn off and the escaping gas caught fire. After the pressure decreased, the flames backed into the column K-302 and caused an internal explosion (approximately 26 seconds after the first explosion). The two explosions caused the impact of debris in other sections of the ethylene oxide/glycol installation and was followed by a huge fire. The recycle gas loop was hit by debris and the released gas burned as a jet-fire. The plant fire fighting team was able to confine the fire and to put it under control in less than one hour. The city fire brigade arrived on the scene but its intervention was not necessary.","CAUSES:
Ethylene oxide leaked through a hair-crack in a weld on the
distillation column K-303 (aldehyde column) and contaminated the
rock-wool insulation of a level indicator. The leak was caused by a
hair-crack due to low cycle fatigue. The released ethylene oxide
reacted with moisture to form non-volatile polyethylene glycols (PEG)
in the insulation material. PEG accumulated in the course of time. On
the day of the accident, the metal covering of the insulation was
removed in order to repair the level indicator. Air leaked into the
insulation material already soaked with PEG, causing its decomposition
and initiating auto-oxidation. The auto-oxidation of the PEG ignited
the insulation and the resulting heat flux heated the metal wall of the
piping of the level instrumentation system. The heating of the stagnant
liquid of the level instrument stand pipe caused the ethylene oxide to
decompose. It must be underlined that the use of a non-absorbing
insulation material with a high specific surface area, the insufficient
in-depth inspections for leaks and also for the possible existence of
any accumulation of polyethylene glycols (PEG) and the lack of
inertization of parts of the equipment where stagnant zones of ethylene
oxide/water mixtures may be created (e.g. instrumentation stand pipes)
by means of continuous nitrogen purging was caused by inadequate
process analysis, design plant and inspection procedures."," EFFECTS ON PEOPLE:
5 employees suffered only minor injuries.

MATERIAL LOSS:
The accident damaged the distillation section and the surrounding equipment were damaged by the impact with debris. The cost of these material damages was estimated in about 2,000,000,000 Belgium Francs (about 0,05 MECU). In the Original report there is no evidence of significant effects outside the establishment.In the Original Report there is no evidence of significant ecological harms.&nbsp;","INTERNAL TO THE ESTABLISHMENT:
Columns K-302 and K-303 were automatically isolated. Energy to the
installation was manually cut-off. All the personnel was warned and the
fire fighting team was activated. It confined the fire that followed
the explosions and put it under control in less than one hour. The city
fire brigade arrived on the scene but its intervention was not
necessary.
EXTERNAL TO THE ESTABLISHMENT:
No off-site emergency measures were required.No off-site emergency measures were required (code 7703). No emergency measures are still required,neither on-site nor off-site (code 7703).","Measures to prevent recurrence: After the accident, the following measures were established:
1- use of a non-absorbing insulation material with a small specific surface area;
2- in-depth inspection for leaks and also for the possible existence of any accumulation of polyethylene glycols (PEG);
3- inertization of parts of the equipment where stagnant zones of ethylene oxide/water mixtures may be created (e.g. instrumentation stand pipes) by means of continuous nitrogen purging."
79,339,Major Accident,General chemicals manufacture (not otherwise specified int the list),Dispersion of a hydrogen chloride cloud escaped from a defective valve,1991-11-26 00:00:00,1991-11-26 00:00:00,"ENVIRONMENTAL AND ATMOSPHERICAL CONDITIONS:Wind from SouthWest.ACCIDENT CASE HISTORY DESCRIPTION:During the transfer of hydrogen chloride to a receiver in the basement of a storage room, a flexible rubber tube was connected to the draining valve. Then the needle valve was opened from outside with a special wrench. Due to a defective valve, hydrogen chloride was released to the storage room for pressure tanks. The amount released was bigger that the capacity of the water column and the hydrogen chloride reached the atmosphere. The company fire brigade was immediately alerted and the local fire brigade a little later. They laid out C-tubes to put on a water curtain to avoid hydrogen chloride vapours dispersion. When the hydrogen chloride cloud reached the factory boundaries, the police alerted nearby population with loudspeakers and other industrial installations were informed by telephone. The hydrogen chloride cloud soon dispersed by itself.","CAUSES:The accident was caused by a defective drainage valve installed on the tank filled with hydrogen chloride. As it was possible to establish that it was not an unintentional extraction of the valve rod, an external manipulation can not be excluded. The insufficient capacity of the water column was due to an inadequate plant design.","EFFECTS ON PEOPLE:Inside the establishment 4 people were intoxicated by the hydrogen chloride release.OTHER:No material losses occurred except liquid hydrogen chloride released during the accident.COMMUNITY DISRUPTION:When the hydrogen chloride cloud reached the factory boundaries, the police alerted nearby population with loudspeakers and other industrial installations were informed by telephone.Ecological harm - Remarks: In the Original Report there is no evidence of significant ecological harms.Affected Area: installationAffected Area: establishment","INTERNAL TO THE ESTABLISHMENT:The company fire brigade was immediately alerted and the local fire brigade a little later. They laid out C-tubes to put on a water curtain to avoid hydrogen chloride vapours dispersion.EXTERNAL TO THE ESTABLISHMENT:When the hydrogen chloride cloud reached the factory boundaries, the police alerted nearby population with loudspeakers and other industrial installations were informed by telephone.No emergency measures are still required, neither on-site nor off-site (code 7703).","MEASURES TO PREVENT ANY RECURRENCE OF SIMILAR ACCIDENTS:After the accident, the following measures were established:1- sealing of cylinders;2- the taps on the cylinders to be equipped with cotter pins secured by steel chains during transport;3- chamber volume enlarged (doubled) so that no liquid hydrogen chloride could escape.MEASURE TO MITIGATE THE EFFECTS OF THE ACCIDENT:After the accident, the following measures were established:1- automatic shut-down procedure of the system to be installed;2- personnel may leave the plant as soon as possible in case of emergencies."
80,701,Major Accident,Processing of metals,Fire with release of acid mixture in a cold strip plant,2006-06-22 05:00:00,2006-06-22 13:30:00,Fire with release of acid mixture in a cold strip plant: 2 persons were injuredMaterial damage of approx. 100.000.000 #A technical failure in the cold strip line (probably a defect&nbsp; in the mangle roller unit located between the two mixed acid pickling units) caused the fire in the installation&nbsp; and due to the high irradiation spread over to the directly adjacent mixed acid pickling unit of the hot pickling line. The fire destroyed the acid circuit tank and the mixed acid pickling unit and the daily supply tanks of concentrated nitric acid and hydrofluoric acid.The spilled acids were contained in the containment tank and were diluted by the extinguishing water.,not given,"Material damage onsite: fire damage on equipment and buildings, disposal of the extinguishing water, cleaning and demolition measures as well as production loss and interruptions in the production processes.

Two persons injured, ambulant treatment
&nbsp;","Safety functions: reporting on the presence of fire and smoke onsite by the personnel. Further alarm triggered in the control room by the fire detectors. Direct response by the onsite fire brigade and successive alert of the public fire brigadeProtective measures: Evacuation, fire extinguishing measures, measures against unauthorized access on the site as well as other security measures external emergency response services: banding of premises, fire extinguishing measures, measurement of emissions by fire brigade and regional environmental agency, radio broadcasts, activation of the public info telephone line of the fire brigade",not given
81,1129,Major Accident,"Power generation, supply and distribution ",Release of biogas in a biogas plant,2017-10-05 17:00:00,2017-10-05 17:00:00,"As a result of a storm with hurricane-force gusts, two inflatable roofs and gas membranes ruptured.
Safety measures:Fault detection, shutdown of gas scrubbing, closure/diversion of the gas line via bypass.",Hurricane gust approx. 33&nbsp;m/s.,"Two inflatable roofs and gas membranes ruptured.Costs: &euro; 70,000","Shutdown of gas scrubbing, closure/diversion of the gas line via bypass; for staff: during the storm, keeping away from the affected containers in order not to be injured by flapping membranes.
On the following day, recovery of the damaged foil by cutting along the remaining attachment to the container in order to avoid further damage from flapping about.
Repairs to the roofs were scheduled from 12 to 18 October 2017 and were completed on 18 October 2017. The roofs were put back into service.
Gas detection for verification purposes has been commissioned and will be carried out shortly.","The roofs are already checked annually by a qualified person.Gas detection is carried out after refurbishment or, as in this case, after damage.This is therefore done as required and, in the future, also on a two-yearly cycle."
82,828,Major Accident,Petrochemical / Oil Refineries,Explosion and fire-ball   in a peak saving station for natural gas occurred  during a routine exercise,1989-12-05 13:00:00,1989-12-05 00:00:00,"ENVIRONMENT AND ATMOSPHERICAL CONDITIONS:Ambient temperature = 7°C. Atmospheric Stability Class = C. Wind direction = 340° with a speed of ?? m/s.ACCIDENT CASE HISTORY DESCRIPTION:The accident occurred in a peak saving station used to store liquefied natural-gas (LNG). The station included a natural gas liquefaction unit, a LNG storage and a LNG compression/vaporization/water bath Thurley vaporizer-facilities. During peak demands, LNG was pumped up to 82 barg to 8 vaporisers from which the gas was injected into the transmission line to 72 barg. As a routine exercise to verify the availability of the site to export gas, the equipment had to be brought to a ""1- hour"" stand-by condition and LNG used to cool down pipes and pumps between the storage tanks and vaporisers. The Thurley vaporiser consisted of a large steel water tank, the water being heated by 6 gas burners. The air supply for the burners was coming from a single local fan via ductwork (up to 24"" diameter). The LNG passed through tubes inside the water bath, evaporating and warming up to 20°C. The LNG inlet to the vaporiser was controlled by a motorised hand indicated control (HIC) valve from the control room. An additional emergency shut-down (ESD) valve could be operated locally or remotely. Between these valves there were four drain valves and a relief valve. The drain valves were 0.5 m and 1.5 m above the ground level. The lower level drain valves were the ones normally used.On December 5, an availability exercise was carried out and five of the 8 vaporisers had to be brought to a ""1- hour"" stand-by condition. Two operators were working on A, B and C vaporisers and other two on E and F vaporisers. The shift engineer was present to start-up the LNG pumps and open the main valve. Vaporisers A, B and C were cooled down according to the normal procedure (admission of small amounts of LNG and low level drain valves opened to accelerate the cooling) and vaporisers E and F were being closed when the pumps were started resulting in a jet of LNG from one of the open drain valves. 30 seconds later there was an explosion and fire-ball. Two operators received burns to their hands and face. The fire-ball was approximately 40m x 25 m.","CAUSES:The LNG jet occurred because the drain lines were opened and venting when the pump was started. The operators did not make sure that the valves were closed. The released natural gas was drawn into one of the air intake to a vaporiser burner and was ignited by a pilot flame, flashing back and igniting the gas that was present in the area following the cooling down exercise. Even if it was not known, due to an inadequate process analysis, the cooling down exercise involving the release of LNG from 5 vaporisers resulted in the presence of sufficient gas in the area to cause an explosion when ignited.The process was not adequately analyzed because it was not known that, following the cooling down procedure, in the area there was the presence of sufficient gas to cause an explosion if ignited. Also, the location of the air intake to the vaporizer burners was not adequate &nbsp;","EFFECTS ON PEOPLE:Two operators received burns to their hands and face because of the fire-ball. Approximately, 40 rescue personnel were involved in the accident (7 fire tenders, 2 fire chiefs, 3 ambulances and 4 police cars attended) but nobody was injured.MATERIAL LOSS:The accident caused minor structural damage to the plant (paint damages,cracked gauge glass).Affected Area: installation","INTERNAL TO THE ESTABLISHMENT:The internal emergency teams were called and the operators closed the liquefied natural gas outlet valves
(code 7999) and put out small residual fires (code 7102).EXTERNAL SERVICES:External fire-fighting services (7 fire tenders, 2 fire chiefs) were called. Also external ambulance services (3 cars) and police intervention (4 cars) were requested.No off-site emergency measures were necessary (code 7703). No emergency measures are still required, neither on-site nor off-site (code 7703).","Measures to prevent recurrence: After the accident, the following measures were established:
1- the system of work adopted for cooling down the pipework, valves and pumps to be modified and the drain valves not to be opened to accelerate cooling so that no gas is released to the atmosphere during this operation;
2- the air intake to the vaporiser burners was relocated out of the classified Zone 1. Another site in the country that was using a similar system had also been modified."
83,894,Major Accident,General chemicals manufacture (not otherwise specified int the list),Release of phosphorus oxychloride/phosphorus chloride,2007-06-26 12:20:00,2007-06-26 15:20:00,"The plant suffered a Loss of Containment incident involving approximately 3.5te of a Very Toxic and Corrosive mixture made up of phosphorus oxychloride and phosphorus chloride at the premises.Eight stainless steel screws securing a pressure gauge to the plant’s oxygen injection pipe line failed due to chloride-induced stress corrosion cracking (CISCC). As a result of this the gauge fell from the line during start-up, leaving a 25mm diameter hole through which the dangerous substances escaped to atmosphere in the plant building, and then via ventilation louvers to the yard area outside.","A pressure gauge fell from the plant's oxygen injection pipe line during start-up leaving a 25mm diameter hole through which the dangerous substances escaped to atmosphere.The pressure gauge failed due to Chlorie-induced Stress Corrosion Cracking (CISCC) of the eight stainless steel cap screws which retained the flange between the gauge head and body.Prior to the incident the Operator had failed to identify CISCC as a potential failure mechanism, being of the opinion that plant temperatures were not sufficiently high.","The plant itself has restricted access only and, whilst Operatives were in the adjacent Control Room, no one was inside the plant building itself at the time of the incident.The incident had limited impact outside the plant with four employees in the vicinity requiring first aid treatment for skin and throat irritation following exposure to HCl fume. No hospital treatment was required and there were no associated cases of ill-health or injury reported under RIDDOR.",The on-site Emergency Response Team attended the muster points to receive instructions and collect PPE. They then attended the POCl3 Plant along with the Site Fire Officers who set up a water-curtain in order to scrub the fumes escaping from the plant building. The Fire Services arrived at the scene and maintained the water-curtain. The Ambulance Service also attended the site.The Police attended the site and set up road-blocks in the vicinity in order to restrict public access.,"The Operator concluded that at the temperatures seen by the screws, the chloride-induced stress corrosion cracking (CISCC) failure mechanism observed following the incident was not foreseeable. Health and Safety Laboratories (HSL) concluded that CISCC was a plausible and hence predictable degradation mechanism for the screws at the temperatures seen and the Competent Authority thus concluded that the failure of the screws due to CISCC was foreseeable.As a result of the findings of this investigation, HSE drafted and released the document entitled ‘SPC/Tech/Gen/39 - Chloride induced stress corrosion cracking of cold formed 304 stainless steel fasteners at ambient temperatures’. This was subsequently replaced by the HSL RR regarding general SCC issues."
84,1134,Near Miss,"Power generation, supply and distribution ",Explosion leading to fire and substance release at a digester of a biogas plant,2017-11-30 10:40:00,2017-11-30 12:50:00,"The operator commissioned a specialist company to repair the gas storage membrane.The specialist company was given instructions by the operator with regard to the operator’s safety instructions, the Industrial Safety Ordinance, the Hazardous Substances Ordinance and Technical Regulations on Hazardous Substances 529. A clearance protocol was also drawn up.The specialist company was therefore fully responsible for carrying out the activities and also for preparatory measures such as clearance measurements and occupational health and safety measures at the workplace.Work started at around 08:00.As a result of the improper performance of the activities, a explosion followed by a fire occurred at around 10:40.Safety measures:Deployment of internal staff and external emergency personnel (volunteer fire brigade).","The real cause of the fire can no longer be determined after the fact.The expert responsible for determining the causes pursuant to Section 29a of the ""Federal Immission Control Act” (BlmSchG - Bundes-Immissionsschutzgesetz) notes the following:The designated IP44 protection for the cable drum used by the specialist company was not suitable for this purpose.A suitable measuring instrument to measure the concentration of biogas was probably not available (cannot be identified on any of the photographs available to the expert).The hot air gun used should not have been used for hot air operations in the vicinity of biogas, adhesives and brake cleaners, as the hot air gun could cause ignition.The hot air gun used produces operating temperatures of between 50 °C and 600 °C.The respective ignition temperatures of the substances present at the source of the fire are:- Brake cleaner 200 °C,- Adhesive approx. 485 °C,- Biogas from approx. 530 °C,- Possible sulphur deposits on the gas storage membrane, damaged area, etc. approx. 240 °C.The usual safety measures, e.g. fire blankets and/or fire extinguishers against the usual fire risk, were probably not present at the place where the specialist company was working; at least, none can be identified on the photographs.The expert assumes that the specialist company did not comply with the requirements of primary fire and explosion protection (avoidance of any dangerous quantity or concentration).The brake cleaner, adhesive and/or biogas may be considered as the flammable and explosive substances at the source of the fire. The use of the first two substances is the responsibility of the specialist company, and the presence of the substance biogas was demonstrably brought to the attention of the specialist company by the operator of the biogas plant and instructions given accordingly. The specialist company should therefore also have taken appropriate protective measures with regard to biogas.The source of ignition may be the cable drum, the hot air gun used and the clothes of the person, which may have become statically charged or discharged.","Gas storage membraneCosts: &euro;150,000","Clearance works- Fire extinguishing,- Fire watch.",Revision of the rules governing work performed by external companies on the biogas production plant.
85,822,Major Accident,Petrochemical / Oil Refineries,Explosion and fire in a hydrocracker unit caused by error in opening a valve between the HP and the LP separators,1987-03-22 07:00:00,1987-03-22 00:00:00,"ENVIRONMENTAL AND ATMOSPHERIC CONDITIONS:The morning was fine and cold with only a slight breeze.ACCIDENT CASE HISTORY DESCRIPTION:A control valve on the liquid line between the HP and the LP Separators was opened in error and the liquid allowed to drain. High pressure hydrogen passed uncontrolled into the closed LP Separator which had limited pressure relief capacity. It overpressurised rupturing at an estimated pressure of 50 bar. The explosion disintegrated the separator and also damaged other vessels and pipes. Released flammable substances were ignited resulting in jet-fires.The hydrocracker unit was commissioned in the early 1970's. The potential for high pressure gas breakthrough into the LP separator was recognized in the design and the flow control valves in the line from the HP separator to the LP separator had provided to automatically close should liquid level in the HP Separator reach a critical pre-determined low point. The safety system was arranged to operate from either of a pair of low level magnetic float switches mounted on a bridle tube attached to the HP Separator. In a safety audit and in a review of pressure relief capacity within the hydrocracker complex which were carried out in 1975, the operator of the refinery concluded that high pressure gas breakthrough into the LP Separator would not arise because there was a safety trip actuated by low liquid levels.As a consequence the pressure relief valve on the LP Separator was sized only for fire engulfment on the vessel and was of comparatively small size. Throughout the 1970's the output of the hydrocracker was limited by a series of operational problems. By the early 1980's these were mostly overcome and throughput started to rise to exceed the design capacity of 23,000 barrels/day. At these high flow rates it was discovered that the liquid in the HP Separator became very turbulent. The rapidly changing liquid levels caused spurious trips of the control valve which in turn caused severe operational difficulties. The low liquid level control valve trip system also lost favour for various other reasons. For example frequent blockages of the pipework leading to the level detectors caused by build up of hard carbon residue and by the solidification of waxy liquids in cold weather. The system was unreliable and therefore was distrusted. Furthermore trips would be over-ridden prior to shut-down so that residual liquid in the HP separator could be emptied. At low throughputs or during standby operation trips would also be over-ridden so that the valves could be opened to allow liquid remaining in the line from the HP separator to be blown clear to prevent accumulation of solidifying wax. As a consequence, in the early 1980's the control valve trip was removed and not replaced. It was left to the operators to detect dangerous low levels and close the valves when they judged it appropriate. Removal of the safety system was authorized at operations supervisor level. Maintenance and instrument engineering managers were aware of the situations and turned a blind eye to it.",INITIATING EVENT AND CONSEQUENCES:A control valve on the liquid line between the HP and the LP Separators was opened in error and the liquid allowed to drain. High pressure hydrogen passed uncontrolled into the closed LP Separator which had limited pressure relief capacity. It overpressurised rupturing at an estimated pressure of 50 bar.CAUSES:The accident occurred because of an operator error (due to both the insufficient training of the operator and to the inappropriate procedures) in opening the control valve on the liquid line from the HP to the LP separator without noticing that the liquid contents in the HP vessel was draining away. Alarms did not operate because they had been previously disconnected without taking into account the decrease in safety. The main reason for the disconnection of the alarms was due to avoid operational difficulties because of the insufficient design capacity of the plant.,"EFFECTS ON PEOPLE:8 people were directly involved in the explosion and the subsequent fire (1 person was killed by explosion). The smoke from the fire did not affected the locality. The number of people put at risk by the missiles thrown by the LP separator explosion were about 200. MATERIAL LOSS:The accident caused extensive damage to vessels, pipework and buildings within the hydrocracker complex (the cost of rebuilding of the hydrocracker has been estimated in about 7 MECU).Outside the establishment, damages occurred in an adjacent factory (rupture of a steam line and damages to a building caused by a large fragment of metal through the roof).The cost of this damage has been estimated to be about 0.007 MECU.&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; OTHER:A small radioactive source, part of a level detection unit, was lost in the blast. It is presumed to have landed in its heavy container on deep mud flats to buried to a considerable depth. It presents absolutely no danger to anyone.MAP OF THE ACCIDENT AREA:The approximate extent of broken windows and cladding and the points were the missiles had thrown are shown on a map attached to the Original Report. The effects of the LP separator burst were equivalent to those of an explosion of 90 kg of TNT.Disruption of community life: Outwith the hydrocracker unit, the effects of the explosion were not severe, except for one nearby factory were a steam line was ruptured and a large metal fragment was thrown through the roof of a building. The smoke from the fire did not affect the locality.Affected Area: installationAffected Area: establishment","INTERNAL TO THE ESTABLISHMENT:Before evacuating the control room, operator initiated the emergency shut-down and venting system of the hydrocracker unit. The on-site emergency procedure was activated. This included the shut-down of the entire refinery, the evacuation of non-essential personnel, the mobilization of the refinery fire brigade and the call on-site of engineering management staff. The extensive refinery fire fighting system was quickly brought into use.The area major incident control committee (comprising Police, Fire Brigade and representatives from major companies in the area) was called into operation to co-ordinate the emergency measures. Fire brigades from Central Scotland attended. Supplies of equipment essential for fire fighting were brought on-site from companies in the locality under a mutual aid system. EXTERNAL TO THE ESTABLISHMENT:Road blocks were set up. Occupiers of neighbouring factories were asked to inspect their sites for damages. It was not necessary to evacuate any housing.No emergency measures are still required, neither on-site nor off-site (code 7703).","Measures to prevent recurrence: After the accident the following measures were established:
1- during the rebuilding of the hydrocracker, a full pressure relief on the LP separator, as well as improved instrumentation and fail-safe shut-off valves in series with level-control valves to be included;
2- rigorous procedures to be adopted in order to drain the HP separator of liquid as shut-down;
3- the systems for reporting plant defects, for testing interlocks and trips, for authorising equipment changes and for training operators have been tightened up;
4- routine audits to be carried out rigorously. 

Senior management were taking a much closer interest in the safety performance of refinery departments.Useful references: The effects of the LP separator burst was estimated to be equivalent to those caused by an explosion of 90 kg of TNT."
86,689,Major Accident,Wholesale and retail storage and distribution (excluding LPG),Release and fire from pipes connected to a chlorine compressor,1998-04-22 08:45:00,1998-04-22 00:00:00,Release and fire in correspondence to pipes connected to a chlorine compressor,"technical defect (container / flange)Due to the rupture of both membranes of a cylinder on a chlorine gas
compressor, oil and chlorine gas could mix. This lead to an exothermic
reaction. This reaction caused an increase in temperature, followed by
a chlorine-iron fire, which destroyed the pipe in two places. Chlorine
gas was released.
A neighbouring wheat field was contaminated. The degree and extent of
the damage are still being assessed. The exact cost of the material
damage has not been determined yet.
Two firemen suffered minor injuries because of the chlorine gas
release. After being examined as out-patients in a hospital, both were
dismissed.","A neighbouring wheat field was contaminated. The degree and extent of the damage are still being assessed. The exact cost of the material damage has not been determined yet.
Two firemen suffered minor injuries because of the chlorine gas release. After being examined as out-patients in a hospital, both were dismissed.","Chlorine gas sensors turned the compressor off and closed the automatic shut-off valves of the storage tank. These measures stopped the flow of chlorine gas. The sprinkling system turned itself on automatically, creating a water curtain over all openings of the building. The neutralisation system was active and removed the gas by suction from the parts of the building involved. The released chlorine gas was neutralised.
Outside of the installation, the fire brigade created a water curtain around the building, and regularly measured the concentration.","Frequent replacement of membranes; using another material.
Installation of temperature sensors, which turn off the compressor in case of danger.
The door between the compressor room and the filling room has been equipped with an automatic closing device.
In the future, the water for the sprinkling system will be taken directly from a well."
